2022-01-19 05:44:34,556 INFO  [hz.erpSystem.cached.thread-6] ClusterHeartbeatManager: [172.18.0.3]:5701 [dev] [4.1.5] System clock apparently jumped from 2022-01-19 05:46:50.941 to 2022-01-19 05:44:34.556 since last heartbeat (-141385 ms)
2022-01-19 07:23:58,062 WARN  [XNIO-1 task-4] RestClient: request [POST http://10.60.27.22:9200/dealer/_search?typed_keys=true&max_concurrent_shard_requests=5&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true&ignore_throttled=true&search_type=dfs_query_then_fetch&batched_reduce_size=512&ccs_minimize_roundtrips=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 07:24:05,594 WARN  [XNIO-1 task-4] RestClient: request [POST http://10.60.27.22:9200/dealer/_search?typed_keys=true&max_concurrent_shard_requests=5&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true&ignore_throttled=true&search_type=dfs_query_then_fetch&batched_reduce_size=512&ccs_minimize_roundtrips=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 07:25:27,133 WARN  [XNIO-1 task-4] RestClient: request [PUT http://10.60.27.22:9200/invoice/_doc/5268?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 07:25:27,183 WARN  [XNIO-1 task-4] RestClient: request [POST http://10.60.27.22:9200/invoice/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 07:26:05,153 WARN  [XNIO-1 task-5] RestClient: request [PUT http://10.60.27.22:9200/payment/_doc/5322?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 07:26:05,179 WARN  [XNIO-1 task-5] RestClient: request [POST http://10.60.27.22:9200/payment/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 07:26:05,556 WARN  [XNIO-1 task-5] RestClient: request [PUT http://10.60.27.22:9200/invoice/_doc/5268?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 07:26:05,580 WARN  [XNIO-1 task-5] RestClient: request [POST http://10.60.27.22:9200/invoice/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 07:26:05,932 WARN  [XNIO-1 task-5] RestClient: request [PUT http://10.60.27.22:9200/signedpayment/_doc/5373?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 07:26:05,985 WARN  [XNIO-1 task-5] RestClient: request [POST http://10.60.27.22:9200/signedpayment/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 07:26:19,436 WARN  [XNIO-1 task-5] RestClient: request [POST http://10.60.27.22:9200/payment/_search?typed_keys=true&max_concurrent_shard_requests=5&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true&ignore_throttled=true&search_type=dfs_query_then_fetch&batched_reduce_size=512&ccs_minimize_roundtrips=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 09:07:53,218 WARN  [XNIO-1 task-3] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@18a9c6e2 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-19 09:07:53,220 WARN  [XNIO-1 task-3] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@1d06f475 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-19 09:07:53,221 WARN  [XNIO-1 task-3] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@784ba99d (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-19 09:07:53,226 WARN  [XNIO-1 task-3] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@2e83fea0 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-19 09:07:53,228 WARN  [XNIO-1 task-3] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@7a58c63c (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-19 09:07:53,230 WARN  [XNIO-1 task-3] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@5057205e (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-19 09:07:53,232 WARN  [XNIO-1 task-3] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@75f56c88 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-19 09:07:53,233 WARN  [XNIO-1 task-3] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@4432fa68 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-19 09:07:53,236 WARN  [XNIO-1 task-3] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@7867bdf4 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-19 09:07:53,239 WARN  [XNIO-1 task-3] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@11db3776 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-19 09:07:57,314 WARN  [XNIO-1 task-3] RestClient: request [POST http://10.60.27.22:9200/dealer/_search?typed_keys=true&max_concurrent_shard_requests=5&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true&ignore_throttled=true&search_type=dfs_query_then_fetch&batched_reduce_size=512&ccs_minimize_roundtrips=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 09:09:45,639 WARN  [XNIO-1 task-4] RestClient: request [PUT http://10.60.27.22:9200/payment/_doc/5323?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 09:09:45,665 WARN  [XNIO-1 task-4] RestClient: request [POST http://10.60.27.22:9200/payment/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 09:09:46,200 WARN  [XNIO-1 task-4] RestClient: request [PUT http://10.60.27.22:9200/signedpayment/_doc/5374?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 09:09:46,250 WARN  [XNIO-1 task-4] RestClient: request [POST http://10.60.27.22:9200/signedpayment/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 09:09:46,316 WARN  [XNIO-1 task-1] RestClient: request [POST http://10.60.27.22:9200/dealer/_search?typed_keys=true&max_concurrent_shard_requests=5&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true&ignore_throttled=true&search_type=dfs_query_then_fetch&batched_reduce_size=512&ccs_minimize_roundtrips=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 09:11:02,560 WARN  [XNIO-1 task-4] RestClient: request [POST http://10.60.27.22:9200/dealer/_search?typed_keys=true&max_concurrent_shard_requests=5&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true&ignore_throttled=true&search_type=dfs_query_then_fetch&batched_reduce_size=512&ccs_minimize_roundtrips=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 09:12:10,333 WARN  [XNIO-1 task-3] RestClient: request [PUT http://10.60.27.22:9200/payment/_doc/5324?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 09:12:10,359 WARN  [XNIO-1 task-3] RestClient: request [POST http://10.60.27.22:9200/payment/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 09:12:10,847 WARN  [XNIO-1 task-3] RestClient: request [PUT http://10.60.27.22:9200/signedpayment/_doc/5375?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 09:12:10,871 WARN  [XNIO-1 task-3] RestClient: request [POST http://10.60.27.22:9200/signedpayment/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 09:12:10,966 WARN  [XNIO-1 task-1] RestClient: request [POST http://10.60.27.22:9200/dealer/_search?typed_keys=true&max_concurrent_shard_requests=5&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true&ignore_throttled=true&search_type=dfs_query_then_fetch&batched_reduce_size=512&ccs_minimize_roundtrips=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 10:07:07,301 WARN  [XNIO-1 task-1] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@39b4404a (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-19 10:07:07,302 WARN  [XNIO-1 task-1] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@4f54ff29 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-19 10:07:07,303 WARN  [XNIO-1 task-1] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@226bfae1 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-19 10:07:07,305 WARN  [XNIO-1 task-1] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@353dbbbe (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-19 10:07:07,516 WARN  [XNIO-1 task-1] RestClient: request [POST http://10.60.27.22:9200/dealer/_search?typed_keys=true&max_concurrent_shard_requests=5&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true&ignore_throttled=true&search_type=dfs_query_then_fetch&batched_reduce_size=512&ccs_minimize_roundtrips=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 10:07:39,976 WARN  [XNIO-1 task-4] RestClient: request [PUT http://10.60.27.22:9200/payment/_doc/5325?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 10:07:40,024 WARN  [XNIO-1 task-4] RestClient: request [POST http://10.60.27.22:9200/payment/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 10:07:40,531 WARN  [XNIO-1 task-4] RestClient: request [PUT http://10.60.27.22:9200/signedpayment/_doc/5376?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 10:07:40,559 WARN  [XNIO-1 task-4] RestClient: request [POST http://10.60.27.22:9200/signedpayment/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 10:07:40,669 WARN  [XNIO-1 task-2] RestClient: request [POST http://10.60.27.22:9200/dealer/_search?typed_keys=true&max_concurrent_shard_requests=5&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true&ignore_throttled=true&search_type=dfs_query_then_fetch&batched_reduce_size=512&ccs_minimize_roundtrips=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 10:08:20,258 WARN  [XNIO-1 task-3] RestClient: request [PUT http://10.60.27.22:9200/payment/_doc/5326?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 10:08:20,282 WARN  [XNIO-1 task-3] RestClient: request [POST http://10.60.27.22:9200/payment/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 10:08:20,656 WARN  [XNIO-1 task-3] RestClient: request [PUT http://10.60.27.22:9200/signedpayment/_doc/5377?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 10:08:20,689 WARN  [XNIO-1 task-3] RestClient: request [POST http://10.60.27.22:9200/signedpayment/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 10:08:20,744 WARN  [XNIO-1 task-3] RestClient: request [POST http://10.60.27.22:9200/dealer/_search?typed_keys=true&max_concurrent_shard_requests=5&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true&ignore_throttled=true&search_type=dfs_query_then_fetch&batched_reduce_size=512&ccs_minimize_roundtrips=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 12:50:37,516 INFO  [XNIO-1 task-3] TokenProvider: Invalid JWT token.
2022-01-19 12:50:37,518 WARN  [XNIO-1 task-3] AdviceTraits: Unauthorized: Full authentication is required to access this resource
2022-01-19 12:50:38,228 WARN  [XNIO-1 task-3] AdviceTraits: Unauthorized: Full authentication is required to access this resource
2022-01-19 12:50:38,420 INFO  [XNIO-1 task-3] TokenProvider: Invalid JWT token.
2022-01-19 12:50:38,421 WARN  [XNIO-1 task-3] AdviceTraits: Unauthorized: Full authentication is required to access this resource
2022-01-19 12:50:59,867 WARN  [XNIO-1 task-3] RestClient: request [POST http://10.60.27.22:9200/dealer/_search?typed_keys=true&max_concurrent_shard_requests=5&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true&ignore_throttled=true&search_type=dfs_query_then_fetch&batched_reduce_size=512&ccs_minimize_roundtrips=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 12:51:05,149 WARN  [XNIO-1 task-3] RestClient: request [POST http://10.60.27.22:9200/dealer/_search?typed_keys=true&max_concurrent_shard_requests=5&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true&ignore_throttled=true&search_type=dfs_query_then_fetch&batched_reduce_size=512&ccs_minimize_roundtrips=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 12:52:55,547 WARN  [XNIO-1 task-5] RestClient: request [PUT http://10.60.27.22:9200/payment/_doc/5327?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 12:52:55,584 WARN  [XNIO-1 task-5] RestClient: request [POST http://10.60.27.22:9200/payment/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 12:52:56,788 WARN  [XNIO-1 task-5] RestClient: request [PUT http://10.60.27.22:9200/signedpayment/_doc/5378?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 12:52:56,875 WARN  [XNIO-1 task-5] RestClient: request [POST http://10.60.27.22:9200/signedpayment/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 12:52:56,877 WARN  [XNIO-1 task-2] RestClient: request [POST http://10.60.27.22:9200/dealer/_search?typed_keys=true&max_concurrent_shard_requests=5&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true&ignore_throttled=true&search_type=dfs_query_then_fetch&batched_reduce_size=512&ccs_minimize_roundtrips=true] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-01-19 13:33:00,129 WARN  [XNIO-1 task-5] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@7e6320f2 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-19 13:33:00,136 WARN  [XNIO-1 task-5] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@1f2175e9 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-19 13:33:00,139 WARN  [XNIO-1 task-5] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@cfcb8d9 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-19 13:33:00,141 WARN  [XNIO-1 task-5] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@6b7f7d04 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-19 13:33:00,143 WARN  [XNIO-1 task-5] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@40b57524 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-19 13:33:00,145 WARN  [XNIO-1 task-5] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@54afcee6 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-19 13:33:00,147 WARN  [XNIO-1 task-5] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@3dfc9eda (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-19 13:33:00,150 WARN  [XNIO-1 task-5] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@2dfb433c (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-19 13:33:00,152 WARN  [XNIO-1 task-5] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@460c0ff2 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-19 13:33:00,154 WARN  [XNIO-1 task-5] PoolBase: Hikari - Failed to validate connection org.postgresql.jdbc.PgConnection@6c7e312b (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2022-01-19 19:44:49,868 WARN  [hz.erpSystem.InvocationMonitorThread] InvocationMonitor: [172.18.0.3]:5701 [dev] [4.1.5] MonitorInvocationsTask delayed 141381 ms
2022-01-19 19:44:50,840 INFO  [hz.erpSystem.cached.thread-2] ClusterHeartbeatManager: [172.18.0.3]:5701 [dev] [4.1.5] System clock apparently jumped from 2022-01-19 19:42:24.459 to 2022-01-19 19:44:50.840 since last heartbeat (+141381 ms)
2022-01-19 19:44:50,840 WARN  [hz.erpSystem.cached.thread-2] ClusterHeartbeatManager: [172.18.0.3]:5701 [dev] [4.1.5] Resetting heartbeat timestamps because of huge system clock jump! Clock-Jump: 141381 ms, Heartbeat-Timeout: 60000 ms
2022-01-19 19:44:50,849 WARN  [hz.erpSystem.InvocationMonitorThread] InvocationMonitor: [172.18.0.3]:5701 [dev] [4.1.5] BroadcastOperationControlTask delayed 141380 ms
