2022-02-21 05:32:33,974 WARN  [hz.erpSystem.InvocationMonitorThread] InvocationMonitor: [172.18.0.3]:5701 [dev] [4.1.5] MonitorInvocationsTask delayed 213888003 ms
2022-02-21 06:51:11,517 INFO  [main] Diagnostics: [172.18.0.3]:5701 [dev] [4.1.5] Diagnostics disabled. To enable add -Dhazelcast.diagnostics.enabled=true to the JVM arguments.
2022-02-21 06:51:11,524 INFO  [main] LifecycleService: [172.18.0.3]:5701 [dev] [4.1.5] [172.18.0.3]:5701 is STARTING
2022-02-21 06:51:14,122 INFO  [main] ClusterService: [172.18.0.3]:5701 [dev] [4.1.5] 

Members {size:1, ver:1} [
	Member [172.18.0.3]:5701 - 9e02c043-b2ef-43a3-bc3d-0e25447db584 this
]

2022-02-21 06:51:14,130 INFO  [main] LifecycleService: [172.18.0.3]:5701 [dev] [4.1.5] [172.18.0.3]:5701 is STARTED
2022-02-21 06:51:15,398 INFO  [main] HazelcastCacheRegionFactory: Starting up HazelcastCacheRegionFactory
2022-02-21 06:51:15,399 INFO  [main] IHazelcastInstanceFactory: Using existing HazelcastInstance [erpSystem].
2022-02-21 06:51:17,109 WARN  [main] RestClient: request [GET http://10.60.27.22:9200/] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:17,141 WARN  [main] VersionInfo: Version mismatch in between Elasticsearch Client and Cluster: 7.12.1 - 7.13.3
2022-02-21 06:51:17,216 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/dealer?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:17,561 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/dealer?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:17,656 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/invoice?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:17,841 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/invoice?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:17,919 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/paymentcategory?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:18,116 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/paymentcategory?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:18,198 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/payment?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:18,396 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/payment?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:18,477 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/paymentinvoice?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:18,660 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/paymentinvoice?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:18,724 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/paymentlabel?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:18,917 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/paymentlabel?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:18,972 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/placeholder?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:19,163 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/placeholder?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:19,225 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/settlementcurrency?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:19,444 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/settlementcurrency?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:19,508 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/settlement?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:19,714 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/settlement?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:19,806 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/signedpayment?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:20,058 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/signedpayment?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:20,124 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/agencynotice?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:20,325 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/agencynotice?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:20,403 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/filetype?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:20,590 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/filetype?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:20,651 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/fileupload?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:20,853 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/fileupload?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:20,918 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/fixedassetacquisition?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:21,398 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/fixedassetacquisition?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:21,458 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/fixedassetdepreciation?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:21,663 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/fixedassetdepreciation?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:21,721 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/fixedassetnetbookvalue?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:21,934 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/fixedassetnetbookvalue?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:22,042 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/messagetoken?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:22,241 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/messagetoken?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:22,320 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/paymentcalculation?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:22,552 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/paymentcalculation?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:22,628 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/paymentrequisition?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:22,807 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/paymentrequisition?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:22,907 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/purchaseorder?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:23,080 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/purchaseorder?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:23,155 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/taxreference?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:23,341 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/taxreference?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:23,391 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/taxrule?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:23,569 WARN  [main] RestClient: request [PUT http://10.60.27.22:9200/taxrule?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
2022-02-21 06:51:23,791 INFO  [main] FileUploadProcessorChain: Adding new file-upload processor io.github.erp.internal.framework.fileProcessing.BatchSupportedFileUploadProcessor@70bf8804
2022-02-21 06:51:23,791 INFO  [main] FileUploadProcessorChain: Adding new file-upload processor io.github.erp.internal.framework.fileProcessing.BatchSupportedFileUploadProcessor@20834041
2022-02-21 06:51:23,791 INFO  [main] FileUploadProcessorChain: Adding new file-upload processor io.github.erp.internal.framework.fileProcessing.BatchSupportedFileUploadProcessor@481b7c3a
2022-02-21 06:51:23,791 INFO  [main] FileUploadProcessorChain: Adding new file-upload processor io.github.erp.internal.framework.fileProcessing.BatchSupportedFileUploadProcessor@10958e5
2022-02-21 06:51:23,791 INFO  [main] FileUploadProcessorChain: Adding new file-upload processor io.github.erp.internal.framework.fileProcessing.BatchSupportedFileUploadProcessor@dfa1f68
2022-02-21 06:51:23,792 INFO  [main] FileUploadProcessorChain: Adding new file-upload processor io.github.erp.internal.framework.fileProcessing.BatchSupportedFileUploadProcessor@3741c7de
2022-02-21 06:51:23,792 INFO  [main] FileUploadProcessorChain: Adding new file-upload processor io.github.erp.internal.framework.fileProcessing.BatchSupportedFileUploadProcessor@24a887a0
2022-02-21 06:51:23,792 INFO  [main] FileUploadProcessorChain: Adding new file-upload processor io.github.erp.internal.framework.fileProcessing.BatchSupportedFileUploadProcessor@6fad2da0
2022-02-21 06:51:23,792 INFO  [main] FileUploadProcessorChain: Adding new file-upload processor io.github.erp.internal.framework.fileProcessing.BatchSupportedFileUploadProcessor@32f17e62
2022-02-21 06:51:23,794 INFO  [main] FileUploadProcessorChain: Adding new file-upload processor io.github.erp.internal.framework.fileProcessing.BatchSupportedFileUploadProcessor@1c18d0d7
2022-02-21 06:51:23,794 INFO  [main] FileUploadProcessorChain: Adding new file-upload processor io.github.erp.internal.framework.fileProcessing.BatchSupportedFileUploadProcessor@574c877e
2022-02-21 06:51:23,794 INFO  [main] FileUploadProcessorChain: Adding new file-upload processor io.github.erp.internal.framework.fileProcessing.BatchSupportedFileUploadProcessor@7eccee80
2022-02-21 06:51:23,794 INFO  [main] FileUploadProcessorChain: Adding new file-upload processor io.github.erp.internal.framework.fileProcessing.BatchSupportedFileUploadProcessor@7c7afce7
2022-02-21 06:51:23,794 INFO  [main] FileUploadProcessorChain: Adding new file-upload processor io.github.erp.internal.framework.fileProcessing.BatchSupportedFileUploadProcessor@26be15d7
2022-02-21 06:51:23,795 INFO  [main] FileUploadProcessorChain: Adding new file-upload processor io.github.erp.internal.framework.fileProcessing.BatchSupportedFileUploadProcessor@157a0109
2022-02-21 06:51:23,795 INFO  [main] FileUploadProcessorChain: Adding new file-upload processor io.github.erp.internal.framework.fileProcessing.BatchSupportedFileUploadProcessor@c5b55c8
2022-02-21 06:51:23,795 INFO  [main] FileUploadProcessorChain: Adding new file-upload processor io.github.erp.internal.framework.fileProcessing.BatchSupportedFileUploadProcessor@27ed1d60
2022-02-21 06:51:23,795 INFO  [main] FileUploadProcessorChain: Adding new file-upload processor io.github.erp.internal.framework.fileProcessing.BatchSupportedFileUploadProcessor@71abb4e7
2022-02-21 06:51:23,924 WARN  [main] RestClient: request [HEAD http://10.60.27.22:9200/user?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.13.3-5d21bea28db1e89ecc1f66311ebdec9dc3aa7d64 "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.13/security-minimal-setup.html to enable security."]
